NCBI,Name,FullName,FullNCBI
2148,Dehalospirillum,R__root;D__Bacteria;P__Proteobacteria;C__Epsilonproteobacteria;O__Campylobacterales;F__Campylobacteraceae;G__Dehalospirillum,1;3;36;176;393;698;2148
1194,Persicobacter,R__root;D__Bacteria;P__Bacteroidetes;C__Cytophagia;O__Cytophagales;F__Flammeovirgaceae;G__Persicobacter,1;3;21;138;308;546;1194
1736,Rubrimonas,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhodobacterales;F__Rhodobacteraceae;G__Rubrimonas,1;3;36;173;361;635;1736
1469,unclassified_Leptotrichiaceae,R__root;D__Bacteria;P__Fusobacteria;C__Fusobacteriia;O__Fusobacteriales;F__Leptotrichiaceae;F1__unclassified_Leptotrichiaceae,1;3;32;164;340;595;1469
3523,Denitrobacterium,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Coriobacteridae;O__Coriobacteriales;O1__Coriobacterineae;F__Coriobacteriaceae;G__Denitrobacterium,1;3;18;123;295;517;1056;3140;3523
1277,Leptobacterium,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Flavobacteriaceae;G__Leptobacterium,1;3;21;139;309;552;1277
1972,unclassified_Sutterellaceae,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Sutterellaceae;F1__unclassified_Sutterellaceae,1;3;36;174;369;655;1972
2265,Maricurvus,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Alteromonadales;F__Alteromonadales_incertae_sedis;G__Maricurvus,1;3;36;177;401;712;2265
1809,Magnetospirillum,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhodospirillales;F__Rhodospirillaceae;G__Magnetospirillum,1;3;36;173;362;639;1809
1766,Acidocella,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhodospirillales;F__Acetobacteraceae;G__Acidocella,1;3;36;173;362;636;1766
1673,Leisingera,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhodobacterales;F__Rhodobacteraceae;G__Leisingera,1;3;36;173;361;635;1673
453,Family XII,R__root;D__Bacteria;P__Cyanobacteria/Chloroplast;C__Cyanobacteria;F__Family XII,1;3;51;199;453
829,GpXII,R__root;D__Bacteria;P__Cyanobacteria/Chloroplast;C__Cyanobacteria;F__Family XII;G__GpXII,1;3;51;199;453;829
2587,Pseudothermotoga,R__root;D__Bacteria;P__Thermotogae;C__Thermotogae;O__Thermotogales;F__Thermotogaceae;G__Pseudothermotoga,1;3;41;184;427;802;2587
3467,Lentzea,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Pseudonocardineae;F__Pseudonocardiaceae;G__Lentzea,1;3;18;123;294;514;1051;3123;3467
2204,Pseudocitrobacter,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Enterobacteriales;F__Enterobacteriaceae;G__Pseudocitrobacter,1;3;36;177;396;702;2204
2461,Perlucidibaca,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Pseudomonadales;F__Moraxellaceae;G__Perlucidibaca,1;3;36;177;411;770;2461
2262,Saccharophagus,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Alteromonadales;F__Alteromonadaceae;G__Saccharophagus,1;3;36;177;401;711;2262
1679,Lutimaribacter,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhodobacterales;F__Rhodobacteraceae;G__Lutimaribacter,1;3;36;173;361;635;1679
1956,Glaciimonas,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Oxalobacteraceae;G__Glaciimonas,1;3;36;174;369;654;1956
1123,Thermophagus,R__root;D__Bacteria;P__Bacteroidetes;C__Bacteroidia;O__Bacteroidales;F__Marinilabiliaceae;G__Thermophagus,1;3;21;137;307;539;1123
1591,Aquamicrobium,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhizobiales;F__Phyllobacteriaceae;G__Aquamicrobium,1;3;36;173;360;628;1591
1752,Thioclava,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhodobacterales;F__Rhodobacteraceae;G__Thioclava,1;3;36;173;361;635;1752
784,Brachyspiraceae,R__root;D__Bacteria;P__Spirochaetes;C__Spirochaetia;O__Spirochaetales;F__Brachyspiraceae,1;3;37;180;416;784
2530,Brachyspira,R__root;D__Bacteria;P__Spirochaetes;C__Spirochaetia;O__Spirochaetales;F__Brachyspiraceae;G__Brachyspira,1;3;37;180;416;784;2530
241,Thermoplasmatales,R__root;D__Archaea;P__Euryarchaeota;C__Thermoplasmata;O__Thermoplasmatales,1;2;5;76;241
508,unclassified_Thermoplasmatales,R__root;D__Archaea;P__Euryarchaeota;C__Thermoplasmata;O__Thermoplasmatales;O1__unclassified_Thermoplasmatales,1;2;5;76;241;508
1361,Flavihumibacter,R__root;D__Bacteria;P__Bacteroidetes;C__Sphingobacteriia;O__Sphingobacteriales;F__Chitinophagaceae;G__Flavihumibacter,1;3;21;140;310;558;1361
3286,Yimella,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Micrococcineae;F__Dermacoccaceae;G__Yimella,1;3;18;123;294;514;1048;3107;3286
3228,Fodinicola,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Frankineae;F__Cryptosporangiaceae;G__Fodinicola,1;3;18;123;294;514;1044;3092;3228
3487,Haloactinospora,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Streptosporangineae;F__Nocardiopsaceae;G__Haloactinospora,1;3;18;123;294;514;1053;3126;3487
1214,Aequorivita,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Flavobacteriaceae;G__Aequorivita,1;3;21;139;309;552;1214
1947,Simplicispira,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Comamonadaceae;G__Simplicispira,1;3;36;174;369;653;1947
1965,Pseudoduganella,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Oxalobacteraceae;G__Pseudoduganella,1;3;36;174;369;654;1965
3074,unclassified_Nitrospiraceae,R__root;D__Bacteria;P__Nitrospirae;C__Nitrospira;O__Nitrospirales;F__Nitrospiraceae;F1__unclassified_Nitrospiraceae,1;3;59;213;469;900;3074
